Name,Job_Title,Organization,What_are_you_working_on_in_the_field_of_social_and_economic_justice,What_do_you_need_from_the_Delegate_community_to_move_this_work_forward,What_are_you_able_and_willing_to_contribute_to_the_Delegate_community
Rotimi Olawale (he/him),Executive Director,Youthhubafrica,"I am working on providing educational access and opportunities for under-served girls and women, as well as strengthening capacity of young people for meaningful and gainful employment","I'll need technical advise on having further clarity on sustainability options, looking for connections and opportunities to collaborate with organisations/granmakers doing work in Nigeria/Africa","I have extensive experience working in Nigeria/Africa and with institutions like the African Union. I have a deep understanding of the youth ecosystem as well as youth policy in Africa and I am widely travelled on the African continent, I am willing to contribute my expertise and provide technical advise and support"
Nik Kafka (he/him),CEO & Founder,Teach A Man To Fish,"Relevant real-world education. Setting young people up to take charge of their lives. Building essential skills for work and life, an entrepreneurial mindset, and the confidence to succeed.","Partners, funders, external perspectives on our approach and how we tell our stories, ideas for unlocking more of our value through social enterprise, and more!","Many years of experience in the for-purpose sector, perspectives on what works & what doesn't, connections to people who might be able to more directly help, and a lot of compassion for how hard this work is!"
Martin Burt (he/him),Founder & CEO,Fundación Paraguaya & Poverty Stoplight,"Two anti-poverty social innovations: the Poverty Stoplight, a tool and methodology that activates the potential of families to overcome poverty",Networking,Almost 40 years of experience as a successful social entrepreneur and economist.
Maryam Montague (she/her),Founder + Executive Director,Project Soar,"I am an Ashoka Arab World Fellow and CNN Africa Changemaker who founded Project Soar in 2013 in Morocco to empower teen girls to become leaders. As one of few feminist teen girl organizations in the MENA region, Project Soar has its own 25 workshop curriculum, based on neuroscience, packed in a replicable toolkit called Soar-in-a-box. We work in 40 locations in Morocco and 4 locations in Syria, with collaborations underway in Egypt and Lebanon. In Morocco we lead the BIGGER movement -- an 18- organization grassroots movement fighting to end child marriage and period poverty","I would like to meet potential donors and partners interested in furthering gender equality and social justice in the MENA region -- the region ranked lowest on the Gender Parity Index. I would also like technical advice related to open-sourcing the Soar Solution, male allyship and faith leader allyship. Additionally, I would welcome joining international coalitions and collaborations that advance social justice.","I would be able to contribute my knowledge, problem-solving skills, and tools as a social entrepreneur and feminist social movement-builder."
Ingrid Karangwayire (she/her),CEO,BK Foundation,"BK Foundation supports programs in Education, Innovation and Environmental conservation.",BK Foundation would be keen on making partnership that can help increase it's reach and improve the work being done on the ground. The Foundation is also keen to growing its knowledge by learning from the delegate community.,Exploring partnership opportunities.
Taio Gardey (he/him),Executive Director,Farming Out of Poverty (FOOP),"We are supporting farmers to overcome hunger and poverty in Sierra Leone. We provide training, agro-inputs, and technology to subsistence farmers on loan.","I´m mainly looking for grant opportunities, but also looking forward to further connections and advice.",I can contribute with my experience
Willie Mpasuka (he/him),Executive Director,Rays of Hope,Ensuring that children and youth from under-resourced communities access transformative education and livelihood opportunities.,"To learn from the community of social entrepreneurs about their work, new models of programming, and just to be part of the community.","I am willing to contribute the energy, knowledge, experience and best practices in education programming, advocacy, and community development."
Grace Moyd (she/her),Executive Director,Thrive Global Project,TGP wants to be the global resource hub that empowers underserved students and communities by increasing racial and gender equity that enables economic mobility through access to innovative programs and quality educational opportunities.,Looking forward to creating connections and always looking for funding sources.,"I am able and willing to contribute the steps and processes I took to start a NGO. Furthermore, how we have been able to scale our programs, funds and impact."
Karla Corichi (No preference),Director,Green Squids,"We channel and manage circular investment towards INCLUSIVE WEALTH by investing in Places, People, Production and Prosperity. We invest in regenerative real estate to create beautiful, resilient, cognitive enhancing communities. In doing so, we help develop regenerative abilities and livelihoods (People) that consolidate circular value chains (Production) and impact investment portfolios (Prosperity).","We have been participating in several netwroks for many years, including OC to build alliances and relationships for when we were ready to deploy our model fully. We are there and are looking forward to grounding many of these.","We have been for over years 10, 27 counting everything that led up to it. In that process we have gained lots of insight, experience and technical abilities that we love to openly share."
Lashon Amado (she/her),Director,Mas Um Chance/ Opportunity Youth United,"I work to empower youth and young adults to be civically engaged and connect to pathways of opportunity, including pathways to education, employment, and entrepreneurship.",Partnership and Collaboration,Best practices around engaging young people in advocacy and civic engagement
